model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ASLink-PT-03b,6,0.003309,8544,FALSE,FALSE,1638,2094,604,1099,0.012727,0,897,63,48,14,0,5,0,0,0,0,0,0,0,12,0,0,0,74
ASLink-PT-03b,7,0.104183,8552,FALSE,FALSE,1638,2094,597,1094,0.012731,0,899,64,49,14,0,6,0,0,0,0,0,0,0,15,0,0,0,81
ASLink-PT-03b,8,0.0,7536,FALSE,TRUE,1638,2094,596,1093,0.01493,0,900,64,49,14,0,6,0,0,0,0,0,0,0,15,0,0,0,81
ASLink-PT-03b,9,0.002346,8988,FALSE,FALSE,1638,2094,601,1098,0.015218,0,897,62,49,14,0,6,0,0,0,0,0,0,0,15,0,0,0,81
ASLink-PT-04a,1,0.0,8640,TRUE,TRUE,1016,1554,757,1333,0.012047,0,161,47,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0,32
ASLink-PT-04a,10,0.0,8484,FALSE,TRUE,1016,1554,728,1314,0.013231,0,164,48,57,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,11,0.064603,8524,TRUE,FALSE,1016,1554,726,1313,0.012762,0,165,48,58,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,12,0.0,8480,FALSE,TRUE,1016,1554,726,1313,0.013242,0,165,48,58,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,13,0.0,8556,FALSE,TRUE,1016,1554,732,1318,0.012938,0,165,47,58,17,0,7,0,0,0,0,0,0,0,17,0,0,0,54
ASLink-PT-04a,14,0.0,448616,NONE,FALSE,1016,1554,730,1316,0.0108,0,162,48,57,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,15,0.0,8548,FALSE,TRUE,1016,1554,728,1315,0.012451,0,163,47,58,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,16,0.0,8564,FALSE,TRUE,1016,1554,734,1318,0.01271,0,161,48,55,17,0,8,0,0,0,0,0,0,0,20,0,0,0,61
ASLink-PT-04a,2,18.5922,30352,FALSE,FALSE,1016,1554,726,1313,0.011017,0,165,48,58,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,3,0.0,217840,NONE,FALSE,1016,1554,728,1314,0.012348,0,164,47,57,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,4,0.0,8584,FALSE,TRUE,1016,1554,730,1315,0.013036,0,163,48,56,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,5,0.472534,8684,FALSE,FALSE,1016,1554,760,1336,0.013603,0,161,41,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ASLink-PT-04a,6,0.0,8488,TRUE,TRUE,1016,1554,728,1314,0.012507,0,164,48,57,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,7,0.0,8480,FALSE,TRUE,1016,1554,726,1313,0.012885,0,165,48,58,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04a,8,0.0,8656,TRUE,TRUE,1016,1554,762,1339,0.013303,0,161,46,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,20
ASLink-PT-04a,9,0.472068,8520,FALSE,FALSE,1016,1554,728,1314,0.013293,0,164,48,57,17,0,8,0,0,0,0,0,0,0,20,0,0,0,62
ASLink-PT-04b,1,0.0,8564,TRUE,TRUE,2034,2567,735,1320,0.019511,0,1124,81,63,17,0,6,0,0,0,0,0,0,0,15,0,0,0,92
ASLink-PT-04b,10,0.0,8484,FALSE,TRUE,2034,2567,727,1314,0.018455,0,1126,81,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,100
ASLink-PT-04b,11,0.0,8488,FALSE,TRUE,2034,2567,729,1316,0.015846,0,1125,81,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,99
ASLink-PT-04b,12,0.0,8620,TRUE,TRUE,2034,2567,747,1329,0.018972,0,1119,78,60,17,0,6,0,0,0,0,0,0,0,14,0,0,0,85
ASLink-PT-04b,13,0.0,343536,NONE,FALSE,2034,2567,737,1322,0.018926,0,1120,79,61,17,0,8,0,0,0,0,0,0,0,20,0,0,0,100
ASLink-PT-04b,14,0.0,8484,TRUE,TRUE,2034,2567,727,1314,0.01916,0,1126,81,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,100
ASLink-PT-04b,15,3.03235,11492,FALSE,FALSE,2034,2567,727,1314,0.019119,0,1127,77,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,100
ASLink-PT-04b,16,0.409031,8756,FALSE,FALSE,2034,2567,734,1319,0.016668,0,1125,81,63,17,0,6,0,0,0,0,0,0,0,15,0,0,0,92
ASLink-PT-04b,2,0.373152,8780,TRUE,FALSE,2034,2567,739,1323,0.016039,0,1120,74,60,17,0,8,0,0,0,0,0,0,0,20,0,0,0,101
ASLink-PT-04b,3,15.6529,88212,FALSE,FALSE,2034,2567,734,1320,0.015831,0,1119,81,62,17,0,8,0,0,0,0,0,0,0,20,0,0,0,101
ASLink-PT-04b,4,0.032563,8584,TRUE,FALSE,2034,2567,732,1319,0.018911,0,1122,80,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,99
ASLink-PT-04b,5,0.123658,8524,FALSE,FALSE,2034,2567,727,1314,0.015576,0,1125,79,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,102
ASLink-PT-04b,6,0.228944,8528,FALSE,FALSE,2034,2567,736,1319,0.018189,0,1126,73,61,17,0,6,0,0,0,0,0,0,0,16,0,0,0,97
ASLink-PT-04b,7,0.0,8484,FALSE,TRUE,2034,2567,728,1315,0.018372,0,1125,81,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,100
ASLink-PT-04b,8,0.0,277684,NONE,FALSE,2034,2567,728,1315,0.018256,0,1125,81,63,17,0,8,0,0,0,0,0,0,0,20,0,0,0,100
ASLink-PT-04b,9,0.0,8612,FALSE,TRUE,2034,2567,743,1327,0.015693,0,1120,79,61,16,0,6,0,0,0,0,0,0,0,15,0,0,0,92
ASLink-PT-05a,1,2.72786,13724,FALSE,FALSE,1211,1827,858,1535,0.012797,0,202,58,71,20,0,10,0,0,0,0,0,0,0,25,0,0,0,71
ASLink-PT-05a,10,0.0,207484,NONE,FALSE,1211,1827,893,1558,0.014232,0,199,52,69,20,0,0,0,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-05a,11,0.0,9204,TRUE,TRUE,1211,1827,858,1535,0.015155,0,200,58,71,20,0,10,0,0,0,0,0,0,0,25,0,0,0,75
ASLink-PT-05a,12,0.0,9220,FALSE,TRUE,1211,1827,865,1540,0.013356,0,196,55,69,20,0,10,0,0,0,0,0,0,0,25,0,0,0,75
ASLink-PT-05a,13,0.0,9144,FALSE,TRUE,1211,1827,857,1534,0.015444,0,201,58,71,20,0,10,0,0,0,0,0,0,0,25,0,0,0,75
ASLink-PT-05a,14,0.0,244816,NONE,FALSE,1211,1827,858,1535,0.015543,0,201,55,71,20,0,10,0,0,0,0,0,0,0,25,0,0,0,76
