"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M"
"ASLink-PT-04a","1","300.00","155040","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","10","300.00","155848","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","11","1.66","8752","TRUE","FALSE","1016","1554","727","1314","204","48","58","17","0","8","0","0","0","0","0","0","0"
"ASLink-PT-04a","12","300.01","143228","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","13","300.00","113624","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","14","300.01","168368","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","15","300.00","143576","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","16","300.00","88712","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","2","143.96","50576","FALSE","FALSE","1016","1554","727","1314","204","48","58","17","0","8","0","0","0","0","0","0","0"
"ASLink-PT-04a","3","300.00","55168","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","4","300.00","130440","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","5","3.11","8880","FALSE","FALSE","1016","1554","764","1340","182","41","55","17","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","6","300.01","155616","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","7","300.00","119192","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","8","300.00","133960","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","9","2.87","8916","FALSE","FALSE","1016","1554","729","1315","203","48","57","17","0","8","0","0","0","0","0","0","0"
"ASLink-PT-04b","1","300.00","161400","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","10","300.00","98224","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","11","300.01","171520","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","12","300.00","136024","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","13","300.00","84204","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","14","300.00","163240","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","15","11.58","11484","FALSE","FALSE","2034","2567","743","1329","1170","77","63","17","0","7","0","0","0","0","0","0","0"
"ASLink-PT-04b","16","9.22","10836","FALSE","FALSE","2034","2567","748","1333","1165","81","63","17","0","6","0","0","0","0","0","0","0"
"ASLink-PT-04b","2","9.58","10840","TRUE","FALSE","2034","2567","757","1340","1162","74","60","17","0","7","0","0","0","0","0","0","0"
"ASLink-PT-04b","3","8.57","10836","FALSE","FALSE","2034","2567","749","1335","1163","81","62","17","0","8","0","0","0","0","0","0","0"
"ASLink-PT-04b","4","300.00","128872","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
