,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
47,MultiCrashLeafsetExtension-PT-S24C04,0.72,1.35,0.5333333333333333,8427228,8427228,1.0,0.228062,FALSE
177,PhilosophersDyn-PT-20,0.62,1.16,0.5344827586206897,12961311,12961311,1.0,0.930013,FALSE
230,NeighborGrid-PT-d5n4m1t35,3.95,7.25,0.5448275862068965,200280065,200280065,1.0,300.0,TRUE
447,ASLink-PT-01b,4.17,7.47,0.5582329317269077,53044546,51732664,1.025358871911178,0.003755,FALSE
37,MultiCrashLeafsetExtension-PT-S24C04,0.79,1.37,0.5766423357664233,8413182,8413182,1.0,0.231897,FALSE
205,NeighborGrid-PT-d5n4m1t35,3.43,5.84,0.5873287671232877,200280065,200280065,1.0,300.0,FALSE
59,MultiCrashLeafsetExtension-PT-S16C07,0.61,1.02,0.5980392156862745,22686083,22686083,1.0,0.103772,FALSE
21,MultiCrashLeafsetExtension-PT-S24C02,0.72,1.2,0.6,91615,91615,1.0,0.106068,TRUE
181,MultiCrashLeafsetExtension-PT-S32C03,1.28,2.05,0.6243902439024391,3387982,3387982,1.0,0.548485,TRUE
93,MultiCrashLeafsetExtension-PT-S16C06,1.59,2.46,0.6463414634146342,10789093,10789093,1.0,0.081093,FALSE
314,BridgeAndVehicles-PT-V20P10N50,0.77,1.19,0.6470588235294118,4123760,4123760,1.0,0.104017,TRUE
192,MultiCrashLeafsetExtension-PT-S32C03,2.24,3.45,0.6492753623188406,3388314,3388314,1.0,0.550079,FALSE
40,MultiCrashLeafsetExtension-PT-S24C04,0.98,1.5,0.6533333333333333,8411345,8411345,1.0,0.229456,FALSE
35,MultiCrashLeafsetExtension-PT-S32C02,2.03,3.09,0.656957928802589,211980,211980,1.0,0.34798,FALSE
72,JoinFreeModules-PT-0003,20.02,30.15,0.6640132669983416,4555,4555,1.0,6.5e-05,FALSE
4,JoinFreeModules-PT-0004,20.01,30.13,0.6641221374045803,138230241,139898537,0.9880749574958029,5.6e-05,FALSE
17,MultiCrashLeafsetExtension-PT-S24C02,3.6,5.42,0.6642066420664207,91648,91648,1.0,0.105729,TRUE
49,MultiCrashLeafsetExtension-PT-S24C03,2.02,3.0,0.6733333333333333,1097294,1097294,1.0,0.160551,TRUE
333,BridgeAndVehicles-PT-V20P20N50,1.33,1.97,0.6751269035532995,4123760,4123760,1.0,0.103098,TRUE
8,MultiCrashLeafsetExtension-PT-S24C02,1.33,1.9,0.7000000000000001,91947,91947,1.0,0.105634,TRUE
384,GPPP-PT-C0001N0000000010,0.75,1.07,0.7009345794392523,5400,5400,1.0,7.7e-05,TRUE
12,MultiCrashLeafsetExtension-PT-S24C02,4.03,5.68,0.7095070422535212,91578,91578,1.0,0.10604,TRUE
221,PhilosophersDyn-PT-10,3.65,5.12,0.712890625,617306,617306,1.0,0.034043,TRUE
100,MultiCrashLeafsetExtension-PT-S16C06,1.05,1.47,0.7142857142857143,10766423,10766423,1.0,0.081633,TRUE
64,MultiCrashLeafsetExtension-PT-S16C02,0.73,1.02,0.7156862745098039,28428,28428,1.0,0.022236,TRUE
182,MultiCrashLeafsetExtension-PT-S32C03,1.16,1.62,0.7160493827160492,3387982,3387982,1.0,0.540046,TRUE
201,MultiCrashLeafsetExtension-PT-S32C02,0.89,1.23,0.7235772357723578,212043,212043,1.0,0.350094,FALSE
442,ASLink-PT-01a,1.14,1.41,0.8085106382978723,47479739,47349724,1.0027458449388216,0.002691,TRUE
196,MultiCrashLeafsetExtension-PT-S32C02,1.46,1.8,0.8111111111111111,211962,211962,1.0,0.347414,FALSE
13,MultiCrashLeafsetExtension-PT-S24C02,3.57,4.4,0.8113636363636363,91578,91578,1.0,0.105916,FALSE
60,MultiCrashLeafsetExtension-PT-S16C07,8.36,10.26,0.8148148148148148,22688376,22688376,1.0,0.104332,TRUE
441,ASLink-PT-01a,2.56,3.14,0.8152866242038216,35551509,35454491,1.0027364093310491,0.003259,TRUE
334,BridgeAndVehicles-PT-V20P20N20,2.04,2.5,0.8160000000000001,4123042,4123042,1.0,0.020088,FALSE
193,MultiCrashLeafsetExtension-PT-S32C03,3.51,4.11,0.8540145985401458,3388759,3388759,1.0,0.531527,TRUE
11,MultiCrashLeafsetExtension-PT-S24C02,3.28,3.84,0.8541666666666666,91658,91658,1.0,0.106067,TRUE
20,MultiCrashLeafsetExtension-PT-S24C02,5.71,6.66,0.8573573573573573,91589,91589,1.0,0.106066,FALSE
48,MultiCrashLeafsetExtension-PT-S24C04,1.65,1.92,0.859375,8411893,8411893,1.0,0.227959,FALSE
112,MultiCrashLeafsetExtension-PT-S16C04,1.54,1.79,0.8603351955307262,1135365,1135365,1.0,0.045799,FALSE
70,JoinFreeModules-PT-0005,1.64,1.9,0.8631578947368421,8529637,8529637,1.0,8.1e-05,FALSE
123,PolyORBLF-PT-S02J06T06,1.66,1.92,0.8645833333333334,67675321,67675321,1.0,0.003296,TRUE
178,MultiCrashLeafsetExtension-PT-S32C03,16.52,18.9,0.8740740740740741,3387772,3387772,1.0,0.532999,TRUE
137,PolyORBLF-PT-S02J04T06,1.8,2.05,0.878048780487805,37828705,37828705,1.0,0.002596,FALSE
62,MultiCrashLeafsetExtension-PT-S16C03,4.32,4.91,0.879837067209776,226727,226727,1.0,0.032666,TRUE
380,GPPP-PT-C0001N0000000100,4.38,4.92,0.8902439024390244,1435461,1435461,1.0,5.1e-05,FALSE
202,MultiCrashLeafsetExtension-PT-S32C02,8.34,9.3,0.896774193548387,212375,212375,1.0,0.348296,FALSE
179,MultiCrashLeafsetExtension-PT-S32C03,4.15,4.62,0.8982683982683983,3388387,3388387,1.0,0.529556,FALSE
189,MultiCrashLeafsetExtension-PT-S32C03,4.09,4.54,0.9008810572687225,3388351,3388351,1.0,0.54154,FALSE
446,DoubleExponent-PT-003,5.15,5.7,0.9035087719298246,1274726,1250407,1.0194488674487587,0.000367,FALSE
263,DNAwalker-PT-05track28LR,10.03,11.01,0.910990009082652,482853366,482853366,1.0,0.000745,FALSE
180,MultiCrashLeafsetExtension-PT-S32C03,6.16,6.74,0.913946587537092,3391126,3391126,1.0,0.561506,TRUE
183,MultiCrashLeafsetExtension-PT-S32C03,4.45,4.86,0.9156378600823045,3387772,3387772,1.0,0.534696,FALSE
214,PhilosophersDyn-PT-20,35.93,39.2,0.9165816326530611,12961311,12961311,1.0,0.959666,TRUE
200,MultiCrashLeafsetExtension-PT-S32C02,6.9,7.52,0.9175531914893618,211979,211979,1.0,0.345589,TRUE
331,BridgeAndVehicles-PT-V20P20N50,1.71,1.86,0.9193548387096774,4372779,4372779,1.0,0.067928,TRUE
248,DNAwalker-PT-02track12Block2,7.41,8.02,0.9239401496259352,18168,18168,1.0,7.8e-05,TRUE
53,MultiCrashLeafsetExtension-PT-S24C03,2.19,2.37,0.9240506329113923,1097294,1097294,1.0,0.158095,FALSE
88,MultiCrashLeafsetExtension-PT-S16C04,3.14,3.39,0.9262536873156342,1135633,1135633,1.0,0.046192,TRUE
394,DNAwalker-PT-10ringRL,6.11,6.59,0.9271623672230653,185401029,185401029,1.0,0.000245,FALSE
377,GPPP-PT-C0001N0000001000,1.15,1.24,0.9274193548387096,10904,10904,1.0,7e-05,FALSE
38,MultiCrashLeafsetExtension-PT-S24C04,3.61,3.88,0.9304123711340206,8412423,8412423,1.0,0.226684,FALSE
135,PolyORBLF-PT-S02J04T06,2.23,2.39,0.9330543933054393,37443697,37443697,1.0,0.002552,TRUE
252,DNAwalker-PT-01track12Block1,7.19,7.69,0.9349804941482445,12042,12042,1.0,6.9e-05,FALSE
239,DNAwalker-PT-02track12Block2,6.0,6.4,0.9375,16653,16653,1.0,7.4e-05,TRUE
376,GPPP-PT-C0001N0000010000,2.15,2.29,0.9388646288209607,68122298,68122298,1.0,4.8e-05,FALSE
210,PhilosophersDyn-PT-20,34.41,36.65,0.938881309686221,12961311,12961311,1.0,0.938034,FALSE
194,MultiCrashLeafsetExtension-PT-S32C02,12.5,13.3,0.9398496240601504,212583,212583,1.0,0.35444,TRUE
327,BridgeAndVehicles-PT-V20P20N50,47.58,50.62,0.9399446858949032,34345799,34345799,1.0,0.068637,FALSE
310,ASLink-PT-01a,3.85,4.08,0.9436274509803921,35136997,35136997,1.0,0.002691,FALSE
251,DNAwalker-PT-01track12Block1,3.59,3.8,0.9447368421052632,6416,6416,1.0,0.000198,FALSE
273,DNAwalker-PT-03track12BlockBoth,3.58,3.78,0.9470899470899472,6416,6416,1.0,0.000184,FALSE
97,MultiCrashLeafsetExtension-PT-S16C06,2.02,2.13,0.9483568075117371,10773644,10773644,1.0,0.081235,FALSE
127,PolyORBLF-PT-S02J06T06,1.29,1.36,0.9485294117647058,67434205,67434205,1.0,0.00327,FALSE
144,PolyORBLF-PT-S02J06T06,1.85,1.95,0.9487179487179488,67533835,67533835,1.0,0.003288,FALSE
191,MultiCrashLeafsetExtension-PT-S32C03,9.16,9.65,0.9492227979274611,3388268,3388268,1.0,0.559191,TRUE
124,PolyORBLF-PT-S02J06T06,1.89,1.99,0.949748743718593,67973665,67973665,1.0,0.00328,TRUE
228,Peterson-PT-3,10.6,11.16,0.9498207885304659,3722929,3722929,1.0,0.000523,FALSE
39,MultiCrashLeafsetExtension-PT-S24C04,2.09,2.2,0.9499999999999998,8416722,8416722,1.0,0.228823,FALSE
339,DNAwalker-PT-06track28RL,134.45,141.48,0.9503109980209217,203818725,203818725,1.0,0.000536,FALSE
