,model name,query index,base-rules@verification time,with-r@verification time,veri time ratio,base-rules@state space size,with-r@state space size,state space ratio,with-r@reduce time,base-rules@answer,type
74,MultiCrashLeafsetExtension-PT-S24C02,5,1.32,1.4,0.942857142857143,91760,91760,1.0,0.107254,TRUE,EF
129,MultiCrashLeafsetExtension-PT-S16C06,14,267.93,283.91,0.9437145574301715,10789906,10789906,1.0,0.07011,TRUE,EF
91,MultiCrashLeafsetExtension-PT-S16C04,14,24.33,25.73,0.9455888068402643,1135141,1135141,1.0,0.044725,FALSE,EF
35,MultiCrashLeafsetExtension-PT-S24C02,13,0.7,0.74,0.9459459459459459,91639,91639,1.0,0.103407,FALSE,EF
473,DNAwalker-PT-09ringLR,12,191.04,201.83,0.9465391666253777,178950975,178950975,1.0,0.000245,TRUE,AG
80,MultiCrashLeafsetExtension-PT-S16C05,10,31.73,33.49,0.9474469991042102,4031461,4031461,1.0,0.059731,TRUE,EF
99,MultiCrashLeafsetExtension-PT-S16C03,12,4.88,5.15,0.9475728155339805,226614,226614,1.0,0.032325,TRUE,AG
68,MultiCrashLeafsetExtension-PT-S24C04,16,33.04,34.81,0.9491525423728813,8412840,8412840,1.0,0.220441,TRUE,EF
133,MultiCrashLeafsetExtension-PT-S16C06,9,206.29,217.31,0.9492890340987529,10781277,10781277,1.0,0.078508,TRUE,AG
21,MultiCrashLeafsetExtension-PT-S24C03,11,47.16,49.63,0.9502317146886963,1097594,1097594,1.0,0.155085,TRUE,AG
474,DNAwalker-PT-09ringLR,11,31.39,33.01,0.9509239624356256,11631235,11631235,1.0,0.000699,FALSE,EF
25,MultiCrashLeafsetExtension-PT-S24C03,7,48.64,51.12,0.9514866979655713,1097139,1097139,1.0,0.155148,TRUE,AG
18,MultiCrashLeafsetExtension-PT-S24C04,5,25.0,26.24,0.9527439024390244,8416214,8416214,1.0,0.219132,FALSE,AG
