,model name,query index,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,net size,with-r-last@reduce time,base-rules@answer
101,DatabaseWithMutex-PT-04,8,0.07,0.13,0.5384615384615385,201155553,211173009,0.9525628012432213,268,0.000458,FALSE
102,UtilityControlRoom-PT-Z2T4N06,13,0.07,0.04,1.7500000000000002,13555333,14225221,0.9529084293312561,268,0.00038,TRUE
103,UtilityControlRoom-PT-Z4T4N02,4,0.05,0.2,0.25,72381,75867,0.9540511684922298,230,0.000281,TRUE
104,UtilityControlRoom-PT-Z2T3N04,10,0.01,0.03,0.33333333333333337,132949,138997,0.9564882695309971,180,0.000245,FALSE
105,IBM703-PT-none,3,0.03,0.3,0.1,22,23,0.9565217391304348,546,0.000774,FALSE
106,DLCflexbar-PT-5a,5,0.01,0.24,0.04166666666666667,125,130,0.9615384615384616,12008,0.128992,TRUE
107,HealthRecord-PT-17,15,0.03,0.1,0.3,281491457,292297687,0.963030052988411,1452,0.003006,FALSE
108,UtilityControlRoom-PT-Z2T4N06,15,0.02,0.13,0.15384615384615385,22292053,23084341,0.9656785524005213,268,0.000397,FALSE
109,JoinFreeModules-PT-0004,13,0.01,30.03,0.000333000333000333,1672141,1725957,0.9688196171747037,54,8.1e-05,TRUE
110,JoinFreeModules-PT-0004,3,0.01,0.06,0.16666666666666669,1672141,1725957,0.9688196171747037,54,8.5e-05,TRUE
111,JoinFreeModules-PT-0010,10,0.05,0.02,2.5,31433601,32409651,0.9698839706728097,132,0.000131,TRUE
112,UtilityControlRoom-PT-Z2T3N04,9,0.02,0.05,0.39999999999999997,329256,338266,0.9733641572017289,180,0.000244,TRUE
113,SharedMemory-PT-000005,16,0.01,0.01,1.0,39,40,0.975,96,0.000173,FALSE
114,JoinFreeModules-PT-0004,12,0.01,0.01,1.0,17981,18415,0.9764322563127885,54,7.6e-05,FALSE
115,JoinFreeModules-PT-0004,2,0.01,0.02,0.5,17981,18415,0.9764322563127885,54,7.1e-05,TRUE
116,DLCround-PT-12a,8,0.01,0.19,0.05263157894736842,350,358,0.9776536312849162,3826,0.020441,FALSE
117,MultiwaySync-PT-none,6,0.03,0.01,3.0,3322255,3397969,0.9777178661724106,694,0.001974,FALSE
118,MultiwaySync-PT-none,5,0.07,0.05,1.4000000000000001,26366258,26958688,0.9780245240421196,694,0.00208,TRUE
119,JoinFreeModules-PT-0003,3,0.01,0.24,0.04166666666666667,4555,4654,0.9787279759346799,41,6.8e-05,TRUE
120,DLCflexbar-PT-3a,15,0.08,0.07,1.1428571428571428,95,97,0.979381443298969,4472,0.025713,FALSE
121,DLCshifumi-PT-5a,7,0.0,0.53,0.0,95,97,0.979381443298969,17027,0.244227,TRUE
122,BART-PT-010,14,0.11,0.49,0.22448979591836735,3462913,3525121,0.9823529461825565,3550,0.00891,FALSE
123,JoinFreeModules-PT-0004,9,0.01,0.57,0.01754385964912281,1672141,1699049,0.9841629052487597,54,7.2e-05,FALSE
124,JoinFreeModules-PT-0004,6,0.02,20.07,0.000996512207274539,1672141,1699049,0.9841629052487597,54,7.6e-05,TRUE
125,SharedMemory-PT-000010,16,0.25,0.01,25.0,217567,220969,0.9846041752463015,341,0.001107,FALSE
126,JoinFreeModules-PT-0003,15,0.04,0.29,0.13793103448275865,225424,228691,0.9857143481816075,41,7.3e-05,TRUE
127,DLCflexbar-PT-4a,10,0.03,0.08,0.375,82,83,0.9879518072289156,7542,0.053017,FALSE
128,JoinFreeModules-PT-0004,7,20.01,30.13,0.6641221374045803,138230241,139898537,0.9880749574958029,54,5.6e-05,FALSE
129,UtilityControlRoom-PT-Z4T4N04,12,0.03,0.28,0.10714285714285712,20050569,20263841,0.9894752431190118,454,0.000774,FALSE
130,SharedMemory-PT-000005,9,0.02,0.01,2.0,1006,1015,0.9911330049261083,96,0.00021,FALSE
131,UtilityControlRoom-PT-Z4T4N02,13,0.06,0.53,0.11320754716981131,58446,58536,0.9984624846248462,230,0.000369,FALSE
5569,AutoFlight-PT-06b,5,0.08,0.08,1.0,1274259,1274259,1.0,1146,0.000969,FALSE
5568,AutoFlight-PT-06b,6,0.01,0.03,0.33333333333333337,141,141,1.0,1146,0.001114,FALSE
5567,AutoFlight-PT-06b,7,0.02,0.44,0.045454545454545456,111,111,1.0,1146,0.001088,FALSE
5566,AutoFlight-PT-06b,8,0.08,0.15,0.5333333333333333,1674956,1674956,1.0,1146,0.000952,TRUE
5565,AutoFlight-PT-06b,10,0.01,0.11,0.09090909090909091,659153,659153,1.0,1146,0.000982,FALSE
5564,AutoFlight-PT-06b,11,0.01,0.18,0.05555555555555556,8369,8369,1.0,1146,0.001104,FALSE
5563,AutoFlight-PT-06b,14,0.03,0.17,0.1764705882352941,71,71,1.0,1146,0.00111,TRUE
5562,AutoFlight-PT-06b,15,0.03,0.37,0.08108108108108109,35961,35961,1.0,1146,0.001172,FALSE
5561,AutoFlight-PT-06b,16,0.04,0.26,0.15384615384615385,1526,1526,1.0,1146,0.001094,FALSE
5560,AutoFlight-PT-12a,1,0.03,1.77,0.01694915254237288,82,82,1.0,612,0.000823,FALSE
5559,AutoFlight-PT-12a,2,0.14,0.4,0.35000000000000003,437,437,1.0,612,0.000881,TRUE
5558,AutoFlight-PT-12a,3,0.02,0.08,0.25,36,36,1.0,612,0.000839,TRUE
5557,AutoFlight-PT-12a,4,0.07,0.03,2.3333333333333335,1693,1693,1.0,612,0.000865,FALSE
5555,AutoFlight-PT-12a,6,0.01,0.02,0.5,213,213,1.0,612,0.00081,FALSE
5570,AutoFlight-PT-06b,4,0.12,0.12,1.0,11779,11779,1.0,1146,0.001115,TRUE
5554,AutoFlight-PT-12a,7,0.06,0.46,0.13043478260869565,650,650,1.0,612,0.000884,FALSE
5553,AutoFlight-PT-12a,8,0.08,0.04,2.0,245,245,1.0,612,0.000845,FALSE
5552,AutoFlight-PT-12a,9,0.02,0.15,0.13333333333333333,3088,3088,1.0,612,0.000887,FALSE
5551,ClientsAndServers-PT-N0002P0,15,0.06,0.15,0.4,44362,44362,1.0,43,7.7e-05,FALSE
5550,ClientsAndServers-PT-N0002P1,1,0.06,0.11,0.5454545454545454,8018025,8018025,1.0,43,4.4e-05,TRUE
5549,Diffusion2D-PT-D20N150,11,0.02,0.04,0.5,45301,45301,1.0,3364,0.079169,TRUE
5548,DNAwalker-PT-07track28RR,4,0.04,0.32,0.125,251434611,251434611,1.0,284,0.000745,FALSE
5547,DNAwalker-PT-05track28LR,16,0.04,0.15,0.26666666666666666,235243652,235243652,1.0,284,0.000736,FALSE
5546,DNAwalker-PT-06track28RL,1,69.08,69.26,0.9974010973144671,228485578,228485578,1.0,284,0.000734,TRUE
5545,DNAwalker-PT-06track28RL,4,134.45,141.48,0.9503109980209217,203818725,203818725,1.0,284,0.000536,FALSE
5544,DNAwalker-PT-06track28RL,6,45.52,45.3,1.0048565121412805,217213855,217213855,1.0,284,0.000527,FALSE
5543,DNAwalker-PT-06track28RL,7,0.04,0.03,1.3333333333333335,2,2,1.0,284,0.000241,FALSE
5556,AutoFlight-PT-12a,5,0.01,0.04,0.25,151,151,1.0,612,0.00087,FALSE
5571,AutoFlight-PT-06b,3,0.08,0.06,1.3333333333333335,249,249,1.0,1146,0.001111,FALSE
5573,AutoFlight-PT-06b,1,0.11,1.63,0.06748466257668712,663817,663817,1.0,1146,0.001162,TRUE
5542,DNAwalker-PT-06track28RL,8,10.03,10.08,0.9950396825396824,335467739,335467739,1.0,284,0.000814,TRUE
5601,AutoFlight-PT-12b,6,0.08,0.1,0.7999999999999999,10004,10004,1.0,2250,0.002283,FALSE
